地方,振興局,地点番号,観測所名,よみがな,所在地,北緯,東経
北海道,宗谷,11001,宗谷岬,そうやみさき,稚内市宗谷岬,45.52,141.935
北海道,宗谷,11016,稚内,わっかない,稚内市開運　稚内地方気象台,45.415,141.6783333
北海道,宗谷,11046,礼文,れぶん,礼文郡礼文町大字香深村トンナイ,45.305,141.045
北海道,宗谷,11076,浜鬼志別,はまおにしべつ,宗谷郡猿払村浜鬼志別,45.335,142.17
北海道,宗谷,11121,沼川,ぬまかわ,稚内市声問村沼川,45.24833333,141.8516667
北海道,宗谷,11151,沓形,くつがた,利尻郡利尻町沓形泉町,45.17833333,141.1383333
北海道,宗谷,11176,豊富,とよとみ,天塩郡豊富町豊富東2条,45.10166667,141.78
北海道,宗谷,11206,浜頓別,はまとんべつ,枝幸郡浜頓別町クッチャロ湖畔,45.125,142.35
北海道,宗谷,11276,中頓別,なかとんべつ,枝幸郡中頓別町上駒,44.965,142.28
北海道,宗谷,11291,北見枝幸,きたみえさし,枝幸郡枝幸町本町　北見枝幸特別地域気象観測所,44.94,142.585
北海道,宗谷,11316,歌登,うたのぼり,枝幸郡枝幸町歌登東町,44.84166667,142.48
北海道,上川,12011,中川,なかがわ,中川郡中川町中川,44.82833333,142.0766667
北海道,上川,12041,音威子府,おといねっぷ,中川郡音威子府村音威子府,44.72666667,142.265
北海道,上川,12141,美深,びふか,中川郡美深町西町,44.48,142.3416667
北海道,上川,12181,名寄,なよろ,名寄市大橋,44.37,142.4566667
北海道,上川,12231,下川,しもかわ,上川郡下川町南町,44.295,142.6366667
北海道,上川,12261,士別,しべつ,士別市武徳町,44.18666667,142.4166667
北海道,上川,12266,朝日,あさひ,士別市朝日町中央,44.11833333,142.595
北海道,上川,12301,和寒,わっさむ,上川郡和寒町日ノ出,44.02833333,142.41
北海道,上川,12386,江丹別,えたんべつ,旭川市江丹別町芳野,43.87,142.26
北海道,上川,12396,比布,ぴっぷ,上川郡比布町北2線,43.87,142.47
北海道,上川,12411,上川,かみかわ,上川郡上川町栄町,43.84666667,142.7533333
北海道,上川,12442,旭川,あさひかわ,旭川市宮前1条　旭川地方気象台,43.75666667,142.3716667
北海道,上川,12451,東川,ひがしかわ,上川郡東川町北町,43.70166667,142.5083333
北海道,上川,12512,志比内,しびない,上川郡東神楽町志比内,43.64333333,142.5816667
北海道,上川,12551,美瑛,びえい,上川郡美瑛町原野5線,43.58833333,142.4933333
北海道,上川,12596,上富良野,かみふらの,空知郡上富良野町大町,43.455,142.465
北海道,上川,12626,富良野,ふらの,富良野市東町,43.33333333,142.4
北海道,上川,12632,麓郷,ろくごう,富良野市麓郷市街地,43.30166667,142.5216667
北海道,上川,12691,幾寅,いくとら,空知郡南富良野町幾寅,43.16833333,142.5683333
北海道,上川,12746,占冠,しむかっぷ,勇払郡占冠村中央,42.97833333,142.395
北海道,上川,15041,朱鞠内,しゅまりない,雨竜郡幌加内町朱鞠内,44.28166667,142.1616667
北海道,上川,15076,幌加内,ほろかない,雨竜郡幌加内町幌加内,44.01,142.16
北海道,留萌,13061,天塩,てしお,天塩郡天塩町川口,44.89333333,141.7616667
北海道,留萌,13086,遠別,えんべつ,天塩郡遠別町幸和,44.71833333,141.8066667
北海道,留萌,13121,初山別,しょさんべつ,苫前郡初山別村初山別,44.52333333,141.77
北海道,留萌,13146,焼尻,やぎしり,苫前郡羽幌町焼尻白浜,44.42833333,141.4216667
北海道,留萌,13181,羽幌,はぼろ,苫前郡羽幌町南3条　羽幌特別地域気象観測所,44.36333333,141.7
北海道,留萌,13261,達布,たっぷ,留萌郡小平町達布,44.04833333,141.8566667
北海道,留萌,13277,留萌,るもい,留萌市大町　留萌特別地域気象観測所,43.945,141.6316667
北海道,留萌,13311,増毛,ましけ,増毛郡増毛町別苅,43.84833333,141.51
北海道,留萌,13321,幌糠,ほろぬか,留萌市幌糠町,43.85333333,141.76
北海道,石狩,14026,浜益,はまます,石狩市浜益区川下,43.58166667,141.3866667
北海道,石狩,14071,厚田,あつた,石狩市厚田区別狩,43.39666667,141.4366667
北海道,石狩,14101,新篠津,しんしのつ,石狩郡新篠津村第46線北,43.22,141.645
北海道,石狩,14116,山口,やまぐち,札幌市手稲区手稲山口,43.14833333,141.2216667
北海道,石狩,14121,石狩,いしかり,石狩市生振,43.19333333,141.37
北海道,石狩,14136,江別,えべつ,江別市江別太,43.11,141.6016667
北海道,石狩,14163,札幌,さっぽろ,札幌市中央区北2条西　札幌管区気象台,43.06,141.3283333
北海道,石狩,14206,恵庭島松,えにわしままつ,恵庭市下島松,42.92666667,141.565
北海道,石狩,14286,支笏湖畔,しこつこはん,千歳市支笏湖温泉番外地,42.77166667,141.4066667
北海道,空知,15116,石狩沼田,いしかりぬまた,雨竜郡沼田町緑町,43.815,141.9266667
北海道,空知,15156,秩父別,ちっぷべつ,雨竜郡秩父別町５条,43.78,141.9616667
北海道,空知,15161,深川,ふかがわ,深川市一已町一已,43.71833333,142.0733333
北海道,空知,15231,空知吉野,そらちよしの,樺戸郡新十津川町吉野,43.595,141.7316667
北海道,空知,15241,滝川,たきかわ,滝川市南滝の川,43.57,141.9383333
北海道,空知,15251,芦別,あしべつ,芦別市北2条東,43.52,142.19
北海道,空知,15311,月形,つきがた,樺戸郡月形町知来乙,43.33,141.6166667
北海道,空知,15321,美唄,びばい,美唄市北美唄町二区,43.36333333,141.8266667
北海道,空知,15356,岩見沢,いわみざわ,岩見沢市5条東　岩見沢特別地域気象観測所,43.21166667,141.785
北海道,空知,15431,長沼,ながぬま,夕張郡長沼町本町北,43.01166667,141.6933333
北海道,空知,15442,夕張,ゆうばり,夕張市鹿の谷山手町,43.03833333,141.9566667
北海道,後志,16026,美国,びくに,積丹郡積丹町美国町船澗,43.27166667,140.5633333
北海道,後志,16061,神恵内,かもえない,古宇郡神恵内村神恵内村,43.145,140.4233333
北海道,後志,16076,余市,よいち,余市郡余市町豊丘町,43.18166667,140.7583333
北海道,後志,16091,小樽,おたる,小樽市勝納町　小樽特別地域気象観測所,43.18166667,141.015
北海道,後志,16156,共和,きょうわ,岩内郡共和町南幌似,42.98,140.6033333
北海道,後志,16206,蘭越,らんこし,磯谷郡蘭越町蘭越,42.81,140.5416667
北海道,後志,16217,倶知安,くっちゃん,虻田郡倶知安町南1条東　倶知安特別地域気象観測所,42.9,140.7566667
北海道,後志,16252,寿都,すっつ,寿都郡寿都町新栄町　寿都特別地域気象観測所,42.795,140.2233333
北海道,後志,16281,真狩,まっかり,虻田郡真狩村美原,42.775,140.88
北海道,後志,16286,喜茂別,きもべつ,虻田郡喜茂別町伏見,42.79333333,140.9483333
北海道,後志,16321,黒松内,くろまつない,寿都郡黒松内町黒松内,42.66333333,140.31
北海道,ｵﾎｰﾂｸ,17036,雄武,おうむ,紋別郡雄武町雄武　雄武特別地域気象観測所,44.58,142.9633333
北海道,ｵﾎｰﾂｸ,17076,興部,おこっぺ,紋別郡興部町興部,44.47,143.1083333
北海道,ｵﾎｰﾂｸ,17091,西興部,にしおこっぺ,紋別郡西興部村西興部,44.33166667,142.935
北海道,ｵﾎｰﾂｸ,17112,紋別,もんべつ,紋別市南が丘町　紋別特別地域気象観測所,44.345,143.355
北海道,ｵﾎｰﾂｸ,17166,湧別,ゆうべつ,紋別郡湧別町東,44.21333333,143.6183333
北海道,ｵﾎｰﾂｸ,17196,滝上,たきのうえ,紋別郡滝上町滝ノ上原野5線南,44.17666667,143.0616667
北海道,ｵﾎｰﾂｸ,17246,常呂,ところ,北見市常呂町岐阜,44.115,144.0366667
北海道,ｵﾎｰﾂｸ,17306,遠軽,えんがる,紋別郡遠軽町東町,44.05333333,143.54
北海道,ｵﾎｰﾂｸ,17316,佐呂間,さろま,常呂郡佐呂間町西富,44.01833333,143.76
北海道,ｵﾎｰﾂｸ,17341,網走,あばしり,網走市台町　網走地方気象台,44.01666667,144.2783333
北海道,ｵﾎｰﾂｸ,17351,宇登呂,うとろ,斜里郡斜里町ウトロ高原,44.05166667,144.9816667
北海道,ｵﾎｰﾂｸ,17482,白滝,しらたき,紋別郡遠軽町白滝北支湧別,43.865,143.1533333
北海道,ｵﾎｰﾂｸ,17501,生田原,いくたはら,紋別郡遠軽町生田原,43.91666667,143.5316667
北海道,ｵﾎｰﾂｸ,17521,北見,きたみ,北見市広郷,43.77666667,143.8416667
北海道,ｵﾎｰﾂｸ,17546,小清水,こしみず,斜里郡小清水町泉,43.84166667,144.485
北海道,ｵﾎｰﾂｸ,17561,斜里,しゃり,斜里郡斜里町以久科南,43.885,144.7
北海道,ｵﾎｰﾂｸ,17596,留辺蘂,るべしべ,北見市留辺蘂町大和,43.74166667,143.45
北海道,ｵﾎｰﾂｸ,17607,境野,さかいの,常呂郡置戸町豊住,43.70666667,143.6433333
北海道,ｵﾎｰﾂｸ,17631,美幌,びほろ,網走郡美幌町福住,43.77,144.1716667
北海道,ｵﾎｰﾂｸ,17717,津別,つべつ,網走郡津別町豊永,43.70166667,144.0333333
北海道,根室,18038,羅臼,らうす,目梨郡羅臼町栄町,44.02333333,145.1866667
北海道,根室,18136,標津,しべつ,標津郡標津町北2条西,43.66166667,145.1316667
北海道,根室,18161,上標津,かみしべつ,標津郡中標津町上標津,43.52,144.7466667
北海道,根室,18171,中標津,なかしべつ,標津郡中標津町桜ヶ丘,43.54333333,144.9783333
北海道,根室,18256,別海,べつかい,野付郡別海町川上町,43.38166667,145.1183333
北海道,根室,18273,根室,ねむろ,根室市弥栄町　根室特別地域気象観測所,43.33,145.585
北海道,根室,18281,納沙布,のさっぷ,根室市温根元,43.39333333,145.7583333
北海道,根室,18311,厚床,あっとこ,根室市西厚床,43.22166667,145.2266667
北海道,釧路,19021,川湯,かわゆ,川上郡弟子屈町川湯駅前,43.61666667,144.4566667
北海道,釧路,19051,弟子屈,てしかが,川上郡弟子屈町弟子屈原野,43.51,144.4666667
北海道,釧路,19076,阿寒湖畔,あかんこはん,釧路市阿寒町阿寒湖温泉,43.43666667,144.0833333
北海道,釧路,19151,標茶,しべちゃ,川上郡標茶町開運,43.29166667,144.5866667
北海道,釧路,19191,鶴居,つるい,阿寒郡鶴居村鶴居東,43.23166667,144.325
北海道,釧路,19261,中徹別,なかてしべつ,釧路市阿寒町徹別中央34線,43.19833333,144.1416667
北海道,釧路,19311,榊町,さかきまち,厚岸郡浜中町榊町,43.12,145.11
北海道,釧路,19376,太田,おおた,厚岸郡厚岸町太田,43.09,144.7783333
北海道,釧路,19416,白糠,しらぬか,白糠郡白糠町西2条北,42.97,144.0616667
北海道,釧路,19432,釧路,くしろ,釧路市幸町　釧路地方気象台,42.985,144.3766667
北海道,釧路,19451,知方学,ちっぽまない,釧路郡釧路町仙鳳趾村知方学,42.93833333,144.735
北海道,十勝,20146,陸別,りくべつ,足寄郡陸別町陸別原野基線,43.47166667,143.7533333
北海道,十勝,20186,ぬかびら源泉郷,ぬかびらげんせんきょう,河東郡上士幌町ぬかびら源泉郷北区,43.36666667,143.1916667
北海道,十勝,20266,上士幌,かみしほろ,河東郡上士幌町東3線,43.24166667,143.295
北海道,十勝,20276,足寄,あしょろ,足寄郡足寄町南1条,43.24333333,143.5533333
北海道,十勝,20341,本別,ほんべつ,中川郡本別町新町,43.13166667,143.6
北海道,十勝,20356,新得,しんとく,上川郡新得町4条南,43.07666667,142.84
北海道,十勝,20361,鹿追,しかおい,河東郡鹿追町緑町,43.10333333,142.995
北海道,十勝,20371,駒場,こまば,河東郡音更町駒場北町,43.05,143.1833333
北海道,十勝,20421,芽室,めむろ,河西郡芽室町西3条南,42.9,143.0433333
北海道,十勝,20432,帯広,おびひろ,帯広市東4条南　帯広測候所,42.92166667,143.2116667
北海道,十勝,20441,池田,いけだ,中川郡池田町清見,42.92,143.4583333
北海道,十勝,20506,浦幌,うらほろ,十勝郡浦幌町桜町,42.80833333,143.6566667
北海道,十勝,20556,糠内,ぬかない,中川郡幕別町五位,42.78666667,143.3283333
北海道,十勝,20601,上札内,かみさつない,河西郡中札内村元札内西1線,42.64166667,143.0966667
北海道,十勝,20606,更別,さらべつ,河西郡更別村更別南2線,42.65166667,143.195
北海道,十勝,20631,大津,おおつ,中川郡豊頃町大津寿町,42.68666667,143.6466667
北海道,十勝,20696,大樹,たいき,広尾郡大樹町柏木町,42.5,143.2733333
北海道,十勝,20751,広尾,ひろお,広尾郡広尾町並木通東　広尾特別地域気象観測所,42.29333333,143.3166667
北海道,胆振,21111,厚真,あつま,勇払郡厚真町朝日,42.73,141.8883333
北海道,胆振,21126,穂別,ほべつ,勇払郡むかわ町穂別,42.76166667,142.1433333
北海道,胆振,21161,大滝,おおたき,伊達市大滝区本町,42.67,141.0783333
北海道,胆振,21171,森野,もりの,白老郡白老町森野,42.63,141.2466667
北海道,胆振,21187,苫小牧,とまこまい,苫小牧市しらかば町　苫小牧特別地域気象観測所,42.62333333,141.5466667
北海道,胆振,21226,大岸,おおきし,虻田郡豊浦町大岸,42.59,140.6433333
北海道,胆振,21261,白老,しらおい,白老郡白老町高砂町,42.54333333,141.3516667
北海道,胆振,21276,鵡川,むかわ,勇払郡むかわ町豊城,42.59,141.9333333
北海道,胆振,21297,伊達,だて,伊達市館山下町,42.475,140.8483333
北海道,胆振,21312,登別,のぼりべつ,登別市札内町,42.45833333,141.1183333
北海道,胆振,21323,室蘭,むろらん,室蘭市山手町　室蘭地方気象台,42.31166667,140.975
北海道,日高,22036,日高,ひだか,沙流郡日高町本町東,42.87666667,142.4416667
北海道,日高,22141,日高門別,ひだかもんべつ,沙流郡日高町富浜,42.49666667,142.0533333
北海道,日高,22156,新和,しんわ,新冠郡新冠町新和,42.54333333,142.3333333
北海道,日高,22241,静内,しずない,日高郡新ひだか町静内山手町,42.34333333,142.3616667
北海道,日高,22291,三石,みついし,日高郡新ひだか町三石美野和,42.245,142.6616667
北海道,日高,22306,中杵臼,なかきねうす,浦河郡浦河町上杵臼,42.22333333,142.9483333
北海道,日高,22327,浦河,うらかわ,浦河郡浦河町潮見町　浦河特別地域気象観測所,42.16166667,142.7766667
北海道,日高,22391,えりも岬,えりもみさき,幌泉郡えりも町東洋,41.925,143.2433333
北海道,渡島,23031,長万部,おしゃまんべ,山越郡長万部町字長万部,42.51666667,140.3733333
北海道,渡島,23086,八雲,やくも,二海郡八雲町本町,42.25166667,140.2716667
北海道,渡島,23166,森,もり,茅部郡森町姫川,42.06666667,140.5883333
北海道,渡島,23206,川汲,かっくみ,函館市川汲町,41.905,140.97
北海道,渡島,23226,北斗,ほくと,北斗市本町,41.88666667,140.6533333
北海道,渡島,23232,函館,はこだて,函館市美原　函館地方気象台,41.81666667,140.7533333
北海道,渡島,23326,木古内,きこない,上磯郡木古内町字本町,41.68,140.4366667
北海道,渡島,23376,松前,まつまえ,松前郡松前町建石,41.42333333,140.0866667
北海道,渡島,24141,熊石,くまいし,二海郡八雲町熊石根崎町,42.12833333,139.985
北海道,檜山,24041,せたな,せたな,久遠郡せたな町瀬棚区本町,42.45,139.8516667
北海道,檜山,24051,今金,いまかね,瀬棚郡今金町今金,42.42833333,140.0083333
北海道,檜山,24101,奥尻,おくしり,奥尻郡奥尻町稲穂,42.24833333,139.5566667
北海道,檜山,24201,鶉,うずら,檜山郡厚沢部町鶉町,41.93,140.3116667
北海道,檜山,24217,江差,えさし,檜山郡江差町姥神町　江差特別地域気象観測所,41.86666667,140.1233333
東北,青森,31001,大間,おおま,下北郡大間町大間字狼丁,41.52666667,140.9116667
東北,青森,31111,むつ,むつ,むつ市金曲　むつ特別地域気象観測所,41.28333333,141.21
東北,青森,31121,小田野沢,おだのさわ,下北郡東通村小田野沢字中川目,41.235,141.3966667
東北,青森,31136,今別,いまべつ,東津軽郡今別町今別字中沢,41.18,140.4816667
東北,青森,31156,脇野沢,わきのさわ,むつ市脇野沢桂沢,41.145,140.8216667
東北,青森,31186,市浦,しうら,五所川原市相内,41.05666667,140.3466667
東北,青森,31201,蟹田,かにた,東津軽郡外ヶ浜町字蟹田鰐ケ淵,41.045,140.6333333
東北,青森,31296,五所川原,ごしょがわら,五所川原市松島町,40.80833333,140.4583333
東北,青森,31312,青森,あおもり,青森市花園　青森地方気象台,40.82166667,140.7683333
東北,青森,31332,野辺地,のへじ,上北郡野辺地町有戸鳥井平,40.885,141.16
東北,青森,31336,六ケ所,ろっかしょ,上北郡六ヶ所村倉内字笹崎,40.885,141.2716667
東北,青森,31366,鰺ケ沢,あじがさわ,西津軽郡鰺ヶ沢町舞戸町字小夜,40.77666667,140.205
東北,青森,31436,深浦,ふかうら,西津軽郡深浦町大字深浦字岡町　深浦特別地域気象観測所,40.645,139.9316667
東北,青森,31461,弘前,ひろさき,弘前市和田町,40.61166667,140.455
東北,青森,31466,黒石,くろいし,黒石市馬場尻南,40.66666667,140.585
東北,青森,31482,酸ケ湯,すかゆ,青森市荒川字南荒川山国有林酸ヶ湯沢,40.64833333,140.8483333
東北,青森,31506,三沢,みさわ,三沢市東町,40.675,141.375
東北,青森,31586,十和田,とわだ,十和田市東十六番町,40.60666667,141.2333333
東北,青森,31602,八戸,はちのへ,八戸市湊町字館鼻　八戸特別地域気象観測所,40.52666667,141.5216667
東北,青森,31646,碇ケ関,いかりがせき,平川市碇ヶ関阿原,40.48166667,140.62
東北,青森,31662,休屋,やすみや,十和田市大字奥瀬字十和田湖畔休屋,40.42666667,140.8983333
東北,青森,31721,三戸,さんのへ,三戸郡三戸町川守田字寺ノ沢,40.38333333,141.2566667
東北,秋田,32056,八森,はちもり,山本郡八峰町八森字チコキ,40.41333333,139.9483333
東北,秋田,32111,能代,のしろ,能代市緑町,40.19833333,140.0316667
東北,秋田,32126,鷹巣,たかのす,北秋田市旭町,40.22666667,140.3716667
東北,秋田,32136,大館,おおだて,大館市出川字上野,40.25166667,140.505
東北,秋田,32146,鹿角,かづの,鹿角市花輪字荒田,40.215,140.7866667
東北,秋田,32206,湯瀬,ゆぜ,鹿角市八幡平湯瀬字一羽根,40.12,140.84
東北,秋田,32266,八幡平,はちまんたい,鹿角市八幡平字熊沢外8国有林,40.01333333,140.8016667
東北,秋田,32286,男鹿,おが,男鹿市脇本脇本字上野,39.91166667,139.9
東北,秋田,32287,大潟,おおがた,南秋田郡大潟村大潟,40,139.95
東北,秋田,32296,五城目,ごじょうめ,南秋田郡五城目町上樋口字屋岸,39.93833333,140.115
東北,秋田,32311,阿仁合,あにあい,北秋田市阿仁水無字畑町東裏,39.99333333,140.4033333
東北,秋田,32402,秋田,あきた,秋田市山王　秋田地方気象台,39.71666667,140.0983333
東北,秋田,32407,岩見三内,いわみさんない,秋田市河辺三内字外川原,39.70666667,140.2866667
東北,秋田,32466,角館,かくのだて,仙北市角館町小勝田鵜の崎,39.60333333,140.5566667
東北,秋田,32476,田沢湖,たざわこ,仙北市田沢湖生保内字宮の後,39.69833333,140.7316667
東北,秋田,32496,大正寺,だいしょうじ,秋田市雄和新波字寺沢,39.52666667,140.2333333
東北,秋田,32551,大曲,おおまがり,大仙市四ツ屋字下古道,39.49,140.495
東北,秋田,32571,本荘,ほんじょう,由利本荘市埋田字用堰南,39.36,140.055
東北,秋田,32581,東由利,ひがしゆり,由利本荘市東由利老方字後田,39.305,140.2883333
東北,秋田,32596,横手,よこて,横手市横手町大樋,39.32,140.555
東北,秋田,32616,にかほ,にかほ,にかほ市金浦字南金浦,39.255,139.9133333
東北,秋田,32626,矢島,やしま,由利本荘市矢島町城内字築館,39.235,140.1366667
東北,秋田,32691,湯沢,ゆざわ,湯沢市金谷字樋ノ口,39.18666667,140.4633333
東北,秋田,32771,湯の岱,ゆのたい,湯沢市秋の宮字湯の岱,38.96,140.5283333
東北,岩手,33006,種市,たねいち,九戸郡洋野町種市第21地割,40.40333333,141.7
東北,岩手,33026,軽米,かるまい,九戸郡軽米町大字上舘第15地割,40.325,141.4666667
東北,岩手,33071,二戸,にのへ,二戸市堀野字馬場,40.29833333,141.2983333
東北,岩手,33136,山形,やまがた,久慈市山形町川井,40.14833333,141.5716667
東北,岩手,33146,久慈,くじ,久慈市小久慈町第24地割,40.16833333,141.7483333
東北,岩手,33166,荒屋,あらや,八幡平市叺田,40.10333333,141.05
東北,岩手,33176,奥中山,おくなかやま,二戸郡一戸町小繋字西田子,40.06,141.225
東北,岩手,33186,葛巻,くずまき,岩手郡葛巻町葛巻第7地割字元町,40.04,141.4566667
東北,岩手,33206,普代,ふだい,下閉伊郡普代村第13地割字普代,40.00333333,141.8833333
東北,岩手,33226,岩手松尾,いわてまつお,八幡平市野駄,39.95166667,141.065
東北,岩手,33296,好摩,こうま,盛岡市好摩字芋田向,39.86833333,141.1666667
東北,岩手,33326,岩泉,いわいずみ,下閉伊郡岩泉町岩泉字中家,39.84666667,141.795
東北,岩手,33336,小本,おもと,下閉伊郡岩泉町小本字下中野,39.84666667,141.9633333
東北,岩手,33371,薮川,やぶかわ,盛岡市薮川字外山,39.78333333,141.3283333
東北,岩手,33421,雫石,しずくいし,岩手郡雫石町第40地割字千刈田,39.69666667,140.975
東北,岩手,33431,盛岡,もりおか,盛岡市山王町　盛岡地方気象台,39.69833333,141.165
東北,岩手,33441,区界,くざかい,宮古市区界第2地割,39.65,141.3533333
東北,岩手,33472,宮古,みやこ,宮古市鍬ケ崎下町　宮古特別地域気象観測所,39.64666667,141.965
東北,岩手,33486,沢内,さわうち,和賀郡西和賀町沢内字貝沢4地割,39.54833333,140.8433333
東北,岩手,33501,紫波,しわ,紫波郡紫波町稲藤字七郷,39.54666667,141.1266667
東北,岩手,33526,川井,かわい,宮古市川井,39.59833333,141.6816667
東北,岩手,33581,大迫,おおはさま,花巻市大迫町大迫第13地割,39.47,141.2783333
東北,岩手,33616,山田,やまだ,下閉伊郡山田町織笠第11地割,39.45,141.9566667
東北,岩手,33631,湯田,ゆだ,和賀郡西和賀町上野々第39地割,39.31,140.7766667
東北,岩手,33671,遠野,とおの,遠野市松崎町白岩24地割,39.33833333,141.5433333
東北,岩手,33716,北上,きたかみ,北上市芳町,39.28833333,141.11
東北,岩手,33751,釜石,かまいし,釜石市港町,39.27,141.8783333
東北,岩手,33776,若柳,わかやなぎ,奥州市胆沢若柳字倉舘,39.14,141.0633333
東北,岩手,33781,江刺,えさし,奥州市江刺愛宕字八日市,39.18333333,141.1616667
東北,岩手,33801,住田,すみた,気仙郡住田町世田米字川向,39.14166667,141.5733333
東北,岩手,33877,大船渡,おおふなと,大船渡市大船渡町字赤沢　大船渡特別地域気象観測所,39.06333333,141.7133333
東北,岩手,33911,一関,いちのせき,一関市竹山町,38.93333333,141.125
東北,岩手,33921,千厩,せんまや,一関市千厩町千厩字北方,38.92166667,141.33
東北,宮城,34012,駒ノ湯,こまのゆ,栗原市栗駒沼倉耕英南,38.91333333,140.8283333
東北,宮城,34026,気仙沼,けせんぬま,気仙沼市古町,38.90666667,141.5566667
東北,宮城,34096,川渡,かわたび,大崎市鳴子温泉字蓬田,38.74333333,140.76
東北,宮城,34111,築館,つきだて,栗原市築館左足下,38.735,141.005
東北,宮城,34171,米山,よねやま,登米市米山町西野字新遠田,38.625,141.1866667
東北,宮城,34186,志津川,しづがわ,本吉郡南三陸町志津川字城場,38.68166667,141.4483333
東北,宮城,34216,古川,ふるかわ,大崎市古川大崎字富国,38.59833333,140.9116667
東北,宮城,34266,大衡,おおひら,黒川郡大衡村松の平,38.47333333,140.8883333
東北,宮城,34276,鹿島台,かしまだい,大崎市鹿島台広長字内の浦,38.46,141.0916667
東北,宮城,34292,石巻,いしのまき,石巻市泉町　石巻特別地域気象観測所,38.42666667,141.2983333
東北,宮城,34296,女川,おながわ,牡鹿郡女川町宮ケ崎字宮ケ崎,38.44666667,141.45
東北,宮城,34311,新川,にっかわ,仙台市青葉区新川字清水尻,38.30333333,140.6366667
東北,宮城,34331,塩釜,しおがま,塩竈市伊保石,38.33833333,141.0133333
東北,宮城,34392,仙台,せんだい,仙台市宮城野区五輪　仙台管区気象台,38.26166667,140.8966667
東北,宮城,34461,白石,しろいし,白石市福岡長袋字湯殿山,38.015,140.6116667
東北,宮城,34462,蔵王,ざおう,刈田郡蔵王町大字平沢字内屋敷,38.12666667,140.68
東北,宮城,34471,亘理,わたり,亘理郡亘理町字油田,38.025,140.8583333
東北,宮城,34506,丸森,まるもり,伊具郡丸森町舘矢間舘山字新賢中,37.93166667,140.7783333
東北,山形,35002,飛島,とびしま,酒田市飛島字勝浦乙,39.18333333,139.5433333
東北,山形,35052,酒田,さかた,酒田市亀ケ崎　酒田特別地域気象観測所,38.90833333,139.8433333
東北,山形,35071,差首鍋,さすなべ,最上郡真室川町差首鍋,38.91833333,140.2
東北,山形,35116,金山,かねやま,最上郡金山町金山字本町,38.87833333,140.3316667
東北,山形,35141,鶴岡,つるおか,鶴岡市錦町,38.735,139.8283333
東北,山形,35146,狩川,かりかわ,東田川郡庄内町狩川字矢倉,38.8,139.9733333
東北,山形,35162,新庄,しんじょう,新庄市東谷地田町　新庄特別地域気象観測所,38.75666667,140.3116667
東北,山形,35176,向町,むかいまち,最上郡最上町向町,38.75833333,140.5166667
東北,山形,35216,肘折,ひじおり,最上郡大蔵村南山,38.60666667,140.1633333
東北,山形,35231,尾花沢,おばなざわ,尾花沢市新町,38.60833333,140.4116667
東北,山形,35246,鼠ケ関,ねずがせき,鶴岡市鼠ケ関字横路,38.56666667,139.5516667
東北,山形,35332,村山,むらやま,村山市大字大久保字寄込,38.46,140.3483333
東北,山形,35361,大井沢,おおいさわ,西村山郡西川町大井沢字中村,38.39,139.9933333
東北,山形,35376,左沢,あてらざわ,西村山郡大江町本郷字下夕原己,38.37,140.1916667
東北,山形,35426,山形,やまがた,山形市緑町　山形地方気象台,38.255,140.345
東北,山形,35456,長井,ながい,長井市平山,38.105,140.015
